termo_pesquisa,id,titulo,preco,link,vendedor,condicao,disponibilidade,vendidos
apple tv,MLA1464945897,Apple Tv 3.a Generación 512mb,99000.0,https://articulo.mercadolibre.com.ar/MLA-1464945897-apple-tv-3a-generacion-512mb-_JM,638036776,used,1,
apple tv,MLA2016882872,Apple Tv 3gen Full Hd 8gb *no Funciona*,15000.0,https://articulo.mercadolibre.com.ar/MLA-2016882872-apple-tv-3gen-full-hd-8gb-no-funciona-_JM,52104263,used,1,
apple tv,MLA1938835060,Apple Tv A1469. Full Hd 8gb/ 512mb Ram Sin Control Remoto,65000.0,https://articulo.mercadolibre.com.ar/MLA-1938835060-apple-tv-a1469-full-hd-8gb-512mb-ram-sin-control-remoto-_JM,38345984,used,1,
apple tv,MLA1954758528,Apple Tv 3ra Gen. En Caja. Como Nuevo,140000.0,https://articulo.mercadolibre.com.ar/MLA-1954758528-apple-tv-3ra-gen-en-caja-como-nuevo-_JM,109894,used,1,
apple tv,MLA1822817324,Apple Tv A1427  3.ª Generación Full Hd 8gb Negro,39000.0,https://articulo.mercadolibre.com.ar/MLA-1822817324-apple-tv-a1427-3-generacion-full-hd-8gb-negro-_JM,154069155,used,1,
apple tv,MLA1755792356, Apple Tv A1469 3.ª Generación. Perf. Estado Caja Cable Orig,90000.0,https://articulo.mercadolibre.com.ar/MLA-1755792356-apple-tv-a1469-3-generacion-perf-estado-caja-cable-orig-_JM,12274147,used,1,
apple tv,MLA1189756455, Apple Tv 3rd Generation,100000.0,https://articulo.mercadolibre.com.ar/MLA-1189756455-apple-tv-3rd-generation-_JM,140707172,used,1,
apple tv,MLA1913452572,Apple Tv 3a Gen  Full Hd 8gb 512mb Ram A1427,45000.0,https://articulo.mercadolibre.com.ar/MLA-1913452572-apple-tv-3a-gen-full-hd-8gb-512mb-ram-a1427-_JM,42544866,used,1,
apple tv,MLA1464550035,Apple Tv A1427 Estándar 3.a Generación,25000.0,https://articulo.mercadolibre.com.ar/MLA-1464550035-apple-tv-a1427-estandar-3a-generacion-_JM,207573097,used,1,
apple tv,MLA1670324528,"Usado Apple Tv 3 A1469 Full Hd Negro Completo, Sin Detalles.",99000.0,https://articulo.mercadolibre.com.ar/MLA-1670324528-usado-apple-tv-3-a1469-full-hd-negro-completo-sin-detalles-_JM,1530068588,used,1,
